წელი,სახელი
2019 წლის 10 დეკემბერი,GTFO | 0xdeadc0de,
2012 წლის 29 ივნისი,Spec Ops: The Line | GOG,
2006 წლის 7 სექტემბერი,Call of Juarez | GOG,
2009 წლის 30 იანვარი,Call of Juarez: Bound in Blood | GOG,
2022 წლის 29 აპრილი,Deadly Dozen Reloaded | FLT,
2022 წლის 28 აპრილი,The House of The Dead: Remake | FLT,
2019,Chernobylite | GOG-Rip,
2004 წლის 23 მარტი,Far Cry - The Best Of Mods 10 In 1 | Repack,
2021 წლის 13 აგვისტო,UpGun | 0xdeadc0de,
2018 წლის 14 აგვისტო,Ground Branch | 0xdeadc0de,
2009 წლის 17 ნოემბერი,Left 4 Dead 2 | Repack by Pioneer,
2007-2009,S.T.A.L.K.E.R. - Anthology (Shadow of Chernobyl / Clear Sky / Call of Pripyat) | GOG,
2008 წლის 17 ნოემბერი,Left 4 Dead | 0xdeadc0de,
2020 წლის 18 დეკემბერი,Ready or Not | 0xdeadc0de,
2022 წლის 7 აპრილი,Forgive Me Father | GOG-RIp,
2005 წლის 27 ოქტომბერი,Sniper Elite: Berlin 1945 | GOG,
2005 წლის 5 აპრილი,SWAT 4: Gold Edition + The Stetchkov Syndicate | GOG,
2021 წლის 14 სექტემბერი,DEATHLOOP - Deluxe Edition | Repack by Chovka,
2021 წლის 14 სექტემბერი,DEATHLOOP - Deluxe Edition | EMPRESS,
2021 წლის 1 ივნისი,Necromunda: Hired Gun | GOG-Rip,
2020 წლის 10 ნოემბერი,Easy Red 2 | 0xdeadc0de,
2013 წლის 25 ივნისი,Deadpool | Repack by FitGirl,
2013 წლის 13 დეკემბერი,7 Days to Die | 0xdeadc0de,
2014,PayDay 2: Ultimate Edition  | RePack by Pioneer,
2017 წლის 18 მაისი,Ravenfield | Portable,
2019 წლის 25 ივლისი,Wolfenstein: Youngblood - Deluxe Edition | Steam-Rip,
2001-2007,ARMA: Cold War Assault + ARMA: Gold Edition | GOG,
2003 წლის 14 მაისი,Enter the Matrix | Repack by R.G Revolution,
2016,Dying Light: The Following - Platinum Edition | Portable,
2022 წლის 1 მარტი,Shadow Warrior 3: Digital Deluxe Edition | RePack by DODI,
2022 წლის 1 მარტი,Shadow Warrior 3 - Deluxe Edition | Repack by FitGirl,
2022 წლის 1 მარტი,Shadow Warrior 3 | FLT,
2011 წლის 4 ოქტომბერი,Rage: Anarchy Edition | Repack by R.G Mechanics,
2011 წლის 6 სექტემბერი,Warhammer 40,000: Space Marine Collection | Repack by FitGirl,
2010 წლის, 2 მარტი,Battlefield Bad Company 2 Ultimate Digital Edition | RePack by DODI,
2017 წლის 7 მარტი,Tom Clancy's Ghost Recon Wildlands - Complete Edition | Portable,
2017 წლის 7 მარტი,Tom Clancy's Ghost Recon Wildlands - Complete Edition | EMPRESS,
2020 წლის 18 სექტემბერი,Crysis Remastered | Portable,
2021 წლის 24 აგვისტო,Aliens: Fireteam Elite: Deluxe Edition | 0xdeadc0de,
2003 წლის 26 სექტემბერი,Freedom Fighters | GOG,
2014 წლის 18 დეკემბერი,Metal Gear Solid V: Ground Zeroes | Repack by R.G Mechanics,
2008,Left 4 Dead | Repack by Pioneer,
2019 წლის  1 თებერვალი,Ace Combat 7: Skies Unknown - Deluxe Edition | Portable,
2022 წლის 25 იანვარი,Serious Sam: Siberian Mayhem | 0xdeadc0de,
2018 წლის 13 ივლისი,Earthfall | 0xdeadc0de,
2021 წლის 9 ნოემბერი,Tiny Tina’s Assault on Dragon Keep: A Wonderlands One-shot Adventure | Repack by FitGirl,
2022 წლის 11 იანვარი,Black One Blood Brothers | Portable,
2016 წლის 16 სექტემბერი,BioShock Remastered | Repack by FitGirl,
2021 წლის 30 სექტემბერი,INDUSTRIA | GOG-Rip,
2005 წლის 7 ნოემბერი,The Matrix: Path of Neo | Repack,
2021,Aliens: Fireteam Elite: Deluxe Edition  | Portable,
2021 წლის 9 დეკემბერი,After the Fall - Launch Edition | VREX,
2019 წლის 14 ნოემბერი,Terminator: Resistance | Portable,
2021 წლის 15 ნოემბერი,Halo Infinite | Portable,
2021 წლის 15 ნოემბერი,Halo Infinite | CODEX,
2021 წლის 7 დეკემბერი,Thunder Tier One | Portable,
2001-2007,Soldier of Fortune: Anthology | GOG,
2021 წლის 12 ნოემბერი,Bright Memory: Infinite - Ultimate Edition | GOG,
2021 წლის 21 სექტემბერი,World War Z: Aftermath | Portable,
2016 წლის 28 ოქტომბერი,The Elder Scrolls V: Skyrim – Anniversary Edition | Repack by FitGirl,
